"Name","Level","LevelCount","TID","InfoTID","Action","ActionCount","ActionData","ActionDataLevel","ExpReward","DiamondReward","IconSWF","IconExportName","CompletedTID","ShowValue","AndroidID","UIGroup","UIPriority"
"String","int","int","String","String","String","int","String","int","int","int","String","String","String","boolean","String","int","int"
"com.supercell.magic.goldstoragelevel0",0,3,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",2,"Gold Storage",,10,2,,,"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","true","CgkI9_nElagcEAIQAQ",0,96
"com.supercell.magic.goldstoragelevel1",1,3,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",5,"Gold Storage",,100,5,,,"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","true","CgkI9_nElagcEAIQAg",0,96
"com.supercell.magic.goldstoragelevel2",2,3,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",10,"Gold Storage",,1000,10,,,"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","true","CgkI9_nElagcEAIQAw",0,96
,,,,,,,,,,,,,,,,,
"com.supercell.magic.npcstars0",0,3,"TID_ACHIEVEMENT_NPC_STARS_TITLE","TID_ACHIEVEMENT_NPC_STARS","npc_stars",10,,,10,5,,,"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","true","CgkI9_nElagcEAIQBA",0,3
"com.supercell.magic.npcstars1",1,3,"TID_ACHIEVEMENT_NPC_STARS_TITLE","TID_ACHIEVEMENT_NPC_STARS","npc_stars",50,,,100,10,,,"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","true","CgkI9_nElagcEAIQBQ",0,3
"com.supercell.magic.npcstars2",2,3,"TID_ACHIEVEMENT_NPC_STARS_TITLE","TID_ACHIEVEMENT_NPC_STARS","npc_stars",150,,,1000,20,,,"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","true","CgkI9_nElagcEAIQBg",0,3
,,,,,,,,,,,,,,,,,
"com.supercell.magic.townhall0",0,3,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",3,"Town Hall",,10,5,,,"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","true","CgkI9_nElagcEAIQBw",0,99
"com.supercell.magic.townhall1",1,3,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",5,"Town Hall",,100,10,,,"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","true","CgkI9_nElagcEAIQCA",0,99
"com.supercell.magic.townhall2",2,3,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",8,"Town Hall",,1000,20,,,"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","true","CgkI9_nElagcEAIQCQ",0,99
